ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000066189,Cacng3,2.2849983671460135,4.610661713589319,3.925370922925565,1.1745798815244215,0.2401628360827811,0.9999842964361042
ENSMUSG00000029503,P2rx2,3.1309614352178365,2.35061841697245,2.6239985920387427,0.8958154261607713,0.3703513495918247,0.9999842964361042
ENSMUSG00000036251,Trpm8,1.513581172507613,2.086539031008254,2.714391487593146,0.7686949508003322,0.44207442305367256,0.9999842964361042
ENSMUSG00000005952,Trpv1,1.681955696713733,1.9678896937142831,2.1821314873951154,0.9018199430610022,0.36715252397931825,0.9999842964361042
ENSMUSG00000039725,Trp53rka,7.246574426117413,1.765931831413167,1.003911086065559,1.7590520275396635,0.07856867202167216,0.9999842964361042
ENSMUSG00000040373,Cacng5,167.54779027216745,1.7499451210743469,0.6649545919926291,2.6316761206662136,0.00849648167087441,0.9999842964361042
ENSMUSG00000032511,Scn5a,26.835047121323573,1.6369701774674894,1.1821783114437467,1.3847066568733812,0.16614218275117623,0.9999842964361042
ENSMUSG00000054934,Kcnmb4,4.729961285731486,1.2500269907820276,1.233216223557359,1.0136316461813777,0.3107585512985732,0.9999842964361042
ENSMUSG00000031576,Kcnu1,18.97455343964803,0.952284870707167,0.6813334247281524,1.3976781941780156,0.1622097252769896,0.9999842964361042
ENSMUSG00000001027,Scn4a,3.431275756042899,0.9057696425359236,1.2822579815494146,0.7063864335953973,0.47994785520549105,0.9999842964361042
ENSMUSG00000027716,Trpc3,4.022521750475306,0.8869455922214089,1.3550222978001178,0.6545616213558754,0.5127500406146495,0.9999842964361042
ENSMUSG00000068735,Trp53i11,57.15299954912158,0.7916241417054426,0.41363923526957136,1.9138033199136344,0.05564529115468371,0.9999842964361042
ENSMUSG00000075316,Scn9a,220.55528865397025,0.7505834851110585,0.39599496881177687,1.895436922755005,0.0580345409602204,0.9999842964361042
ENSMUSG00000018507,Trpv2,40.21880388779683,0.7356005972853662,0.5294666013899701,1.3893238881437422,0.1647342830528817,0.9999842964361042
ENSMUSG00000029868,Trpv6,1.6398207125032058,0.7306612811314942,2.2054953358311913,0.3312912384174813,0.7404245087337447,0.9999842964361042
ENSMUSG00000036636,Clcn7,41.64890270119279,0.6898890862441914,0.5029587686773389,1.3716613154164397,0.17016889638763827,0.9999842964361042
ENSMUSG00000014444,Piezo1,37.99365489499379,0.6711712255272604,0.9087829490269334,0.7385385324910724,0.4601872608720225,0.9999842964361042
ENSMUSG00000023387,Kcnk16,1.8098625343726429,0.6412611487229339,1.5519567845459814,0.4131952352723096,0.679463578762555,0.9999842964361042
ENSMUSG00000024936,Kcnk7,3.055698364545755,0.6194635485414417,1.3991235201403964,0.4427511507199029,0.6579457400735786,0.9999842964361042
ENSMUSG00000040118,Cacna2d1,26.44103885521729,0.6052026843878189,0.6098609682249518,0.9923617281973444,0.3210211013951942,0.9999842964361042
ENSMUSG00000028211,Trp53inp1,138.0859865035591,0.5647445689872305,0.6307786209186733,0.895313427339579,0.37061956451077493,0.9999842964361042
